test,type,interactions,elapsed_time,find_type
test_base,memalloc,361,0.009000,null
test_base,std,361,0.000000,std
test_base,memalloc,371,0.008000,first_fit
test_base,memalloc,371,0.007000,worst_fit
test_base,memalloc,371,0.009000,null
test_base,std,371,0.000000,std
test_base,memalloc,381,0.009000,first_fit
test_base,memalloc,381,0.007000,worst_fit
test_base,memalloc,381,0.008000,null
test_base,std,381,0.001000,std
test_base,memalloc,391,0.008000,first_fit
test_base,memalloc,391,0.009000,worst_fit
test_base,memalloc,391,0.007000,null
test_base,std,391,0.000000,std
test_base,memalloc,401,0.008000,first_fit
test_base,memalloc,401,0.007000,worst_fit
test_base,memalloc,401,0.009000,null
test_base,std,401,0.001000,std
test_base,memalloc,411,0.007000,first_fit
test_base,memalloc,411,0.008000,worst_fit
test_base,memalloc,411,0.008000,null
test_base,std,411,0.001000,std
test_base,memalloc,421,0.007000,first_fit
test_base,memalloc,421,0.011000,worst_fit
test_base,memalloc,421,0.009000,null
test_base,std,421,0.001000,std
test_base,memalloc,431,0.010000,first_fit
test_base,memalloc,431,0.008000,worst_fit
test_base,memalloc,431,0.030000,null
test_base,std,431,0.000000,std
test_base,memalloc,441,0.009000,first_fit
test_base,memalloc,441,0.008000,worst_fit
test_base,memalloc,441,0.008000,null
test_base,std,441,0.001000,std
test_base,memalloc,451,0.009000,first_fit
test_base,memalloc,451,0.009000,worst_fit
test_base,memalloc,451,0.007000,null
test_base,std,451,0.001000,std
test_base,memalloc,461,0.008000,first_fit
test_base,memalloc,461,0.009000,worst_fit
test_base,memalloc,461,0.009000,null
test_base,std,461,0.000000,std
test_base,memalloc,471,0.008000,first_fit
test_base,memalloc,471,0.007000,worst_fit
test_base,memalloc,471,0.008000,null
test_base,std,471,0.000000,std
test_base,memalloc,481,0.012000,first_fit
test_base,memalloc,481,0.011000,worst_fit
test_base,memalloc,481,0.009000,null
test_base,std,481,0.001000,std
test_base,memalloc,491,0.008000,first_fit
test_base,memalloc,491,0.009000,worst_fit
test_base,memalloc,491,0.010000,null
test_base,std,491,0.001000,std
test_base,memalloc,501,0.013000,first_fit
test_base,memalloc,501,0.008000,worst_fit
test_base,memalloc,501,0.009000,null
test_base,std,501,0.000000,std
test_base,memalloc,511,0.012000,first_fit
test_base,memalloc,511,0.009000,worst_fit
test_base,memalloc,511,0.009000,null
test_base,std,511,0.000000,std
test_base,memalloc,521,0.013000,first_fit
test_base,memalloc,521,0.014000,worst_fit
test_base,memalloc,521,0.009000,null
test_base,std,521,0.000000,std
test_base,memalloc,531,0.007000,first_fit
test_base,memalloc,531,0.008000,worst_fit
test_base,memalloc,531,0.009000,null
test_base,std,531,0.000000,std
test_base,memalloc,541,0.007000,first_fit
test_base,memalloc,541,0.007000,worst_fit
test_base,memalloc,541,0.008000,null
test_base,std,541,0.000000,std
test_base,memalloc,551,0.007000,first_fit
test_base,memalloc,551,0.015000,worst_fit
test_base,memalloc,551,0.008000,null
test_base,std,551,0.000000,std
test_base,memalloc,561,0.011000,first_fit
test_base,memalloc,561,0.009000,worst_fit
test_base,memalloc,561,0.008000,null
test_base,std,561,0.000000,std
test_base,memalloc,571,0.008000,first_fit
test_base,memalloc,571,0.008000,worst_fit
test_base,memalloc,571,0.007000,null
test_base,std,571,0.000000,std
test_base,memalloc,581,0.008000,first_fit
test_base,memalloc,581,0.007000,worst_fit
test_base,memalloc,581,0.008000,null
test_base,std,581,0.001000,std
test_base,memalloc,591,0.008000,first_fit
test_base,memalloc,591,0.007000,worst_fit
test_base,memalloc,591,0.008000,null
test_base,std,591,0.000000,std
test_base,memalloc,601,0.009000,first_fit
test_base,memalloc,601,0.010000,worst_fit
test_base,memalloc,601,0.009000,null
test_base,std,601,0.000000,std
test_base,memalloc,611,0.009000,first_fit
test_base,memalloc,611,0.011000,worst_fit
test_base,memalloc,611,0.008000,null
test_base,std,611,0.001000,std
test_base,memalloc,621,0.008000,first_fit
test_base,memalloc,621,0.007000,worst_fit
test_base,memalloc,621,0.009000,null
test_base,std,621,0.000000,std
test_base,memalloc,631,0.007000,first_fit
test_base,memalloc,631,0.007000,worst_fit
test_base,memalloc,631,0.009000,null
test_base,std,631,0.000000,std
test_base,memalloc,641,0.010000,first_fit
